confidence_level,time_horizon,var_value,es_value
0.9,1,17454.534145564237,23885.745235931056
0.9,5,38596.91185920869,52977.537034919456
0.9,10,54125.837243995695,74463.11240288996
0.9,20,75628.61515922549,104389.86551064714
0.95,1,22395.380718346958,28126.087149616047
0.95,5,49644.9806623475,62459.229801760644
0.95,10,69750.16598342588,87872.25090801167
0.95,20,97724.75276550333,123353.25104432952
0.99,1,31467.127173720444,36595.18260877655
0.99,5,69930.02241120579,81396.70295637831
0.99,10,98437.54713796558,114653.88228034839
0.99,20,138294.83626321968,161228.1973535649
